Question,Answer,Keywords,Cluster,subtopic,topic ,Macro-topic
What is the main purpose of this paper?,The main purpose of this paper is to present an integrated value model for a sustainability assessment of residential solar energy systems (Rests) dedicated to energy generation and aimed at reducing air pollution in urban areas.,"main, purpose, Rests, paper, energy, systems, dedicated, areas, present, integrated, ",20,main purpose,Energy assessments,Solar energy
What are the keywords associated with this paper?,"The keywords associated with this paper are Renewable energy, Solar system, Residential buildings, Urban air pollution, and Sustainability assessment.","keywords, paper, Solar, Residential, Urban, Renewable, Sustainability, energy, system, buildings, ",27,Solar system,Solar urban sustainability ,Solar energy
What is GIVES?,GIVES stands for the integrated value model for sustainability assessment.,"assessment, stands, integrated, model, sustainability, ",20,sustainability assessment,Energy assessments,Solar energy
What is the advantage of PV/T over PV?,PV/T is a better solution when stakeholders are more sensitive to environmental requirements and air pollution decrement potential.,"advantage, potential, solution, stakeholders, sensitive, environmental, requirements, air, ",2,decrement potential,Renewable Solutions Integration,Solar energy
What are the measures necessary to reduce energy needs?,Reducing energy needs with measures such as less consuming devices and machinery as well as more responsible consumption habits are necessary.,"energy, measures, reduce, consuming, devices, machinery, responsible, habits, ",29,reduce energy,Energy efficiency meaasures,Solar energy
What is considered one of the driving capabilities to accelerate the transition from centralized to decentralized energy systems?,The significant growth of integrated renewable energy sources distributed within the built environment is considered one of the driving capabilities to accelerate the transition.,"considered, driving, capabilities, accelerate, transition, systems, energy, centralized, significant, growth, ",10,driving capabilities,Renewable energy transition ,Solar energy
What are the advantages of decentralized and local energy production?,"The advantages of decentralized and local energy production include decreased costs of energy distribution, reduced energy losses during transitions which leads to lesser environmental impacts, and reusing unused urban potentials.","energy, advantages, decentralized, local, production, distribution, reduced, impacts, potentials, include, ",2,local energy,Renewable Solutions Integration,Solar energy
What is the difference between rooftop applications and large-scale solar farms?,"Rooftop applications do not require land acquisition while solar farms require land acquisition. Furthermore, discarding a vast area of unused rooftops for solar applications while using extensive solar farm projects means decreasing the potential for agriculture, as well as losing the potential for buildingsâ„¢ self-sufficiency.","solar, applications, farms, land, rooftop, difference, large-scale, require, acquisition, potential, ",21,solar farms,Renewable energy integration,Solar energy
What is the average yearly growth of renewable energy consumption?,"The average yearly growth of renewable energy consumption is 2.3% per year between 2,015 and 2,040.","average, yearly, growth, renewable, energy, consumption, ",11,average yearly,Renewable energy insights,Solar energy
What are two matured technologies used to harvest solar radiation?,Two matured technologies used to harvest solar radiation are converting it to electrical and thermal energy.,"matured, technologies, harvest, solar, radiation, energy, converting, electrical, thermal, ",28,matured technologies,Solar Hybrid Technologies,Solar energy
What are the two effects of using a hybrid photovoltaic thermal (PV/T) system to generate thermal and electrical energy simultaneously?,"The two effects of using a PV/T system are harvesting more of the incident solar radiation by thermal energy generation, as well as cooling PV panels by extracting waste heat during photovoltaic operation.","effects, simultaneously, thermal, photovoltaic, system, energy, hybrid, generate, electrical, operation, ",28,energy simultaneously,Solar Hybrid Technologies,Solar energy
What is the percentage of global CO2 emissions that is contributed by heat energy end-use?,Heat energy end-use contributes to 40% of global CO2 emissions.,"global, emissions, energy, heat, end-use, percentage, contributed, ",29,heat energy,Energy efficiency meaasures,Solar energy
What is the main innovation of this research paper?,"The main innovation of this research paper is providing a novel model and systematic approach that proceeds beyond the previous works, which intends to assist decision-makers such as municipalities, contractors, and experts in adopting the most suitable and sustainable residential solar system alternatives to minimize citiesâ„¢ air pollution.","main, innovation, research, paper, contractors, works, municipalities, cities, air, pollution, ",20,main innovation,Energy assessments,Solar energy
What approach is needed to structure the problem solution?,It is necessary to consider possible decision criteria and select the most significant criteria concerning the decision objective in order to structure the problem solution as a hierarchy.,"structure, problem, solution, approach, needed, decision, criteria, hierarchy, select, significant, ",16,problem solution,Solar Energy Optimization,Solar energy
What combination is used to make decisions more rationally and make them more transparent and better understandable?,The Analytic Hierarchy Process (HP) and GIVES are combined to make decisions more rationally and make them more transparent and better understandable.,"make, understandable, decisions, rationally, transparent, combination, Process, Analytic, Hierarchy, ",8,make decisions,Solar panel perception,Solar energy
What does the present article develop and apply?,"The present article develops and applies a new model in Tehran, an example of a megacity with potential for incorporating solar collector systems.","present, article, apply, Tehran, develop, systems, model, megacity, potential, incorporating, ",20,present article,Energy assessments,Solar energy
What did the study find regarding Tehran city and air pollution?,The study found that Tehran city ranked 14th among high carbon footprint cities and 12th among PM10 pollutants megacities worldwide.,"Tehran, pollution, study, city, find, air, ranked, worldwide, high, carbon, ",2,air pollution,Renewable Solutions Integration,Solar energy
What are the three levels of the framework for this study?,"The framework for this study is organized into three levels consisting of the initial analysis, specific analysis, and sustainability analysis.","framework, analysis, levels, study, specific, organized, consisting, initial, sustainability, ",20,framework,Energy assessments,Solar energy
What databases were consulted to find the hundreds of studies analysed?,"Web of Science, Scopus, and Google Scholar were the databases consulted.","Scopus, analysed, Science, databases, consulted, find, hundreds, studies, Google, Scholar, ",5,studies analysed,Solar energy impact,Solar energy
What are the three major phases of the systematic approach?,"The three major phases of the systematic approach are identification, screening, and including.","major, phases, systematic, approach, screening, identification, including, ",17,major phases,Solar energy dynamics ,Solar energy
What are the expected findings from the identification phase?,"The expected findings from the identification phase are the state of the art, identification of available alternatives, recognition of the type and characteristics each alternative has, and definition of boundaries.","identification, expected, findings, phase, art, recognition, boundaries, state, type, characteristics, ",18,expected findings,Renewable energy Integration,Solar energy
What does the sustainability assessment model consist of?,"The sustainability assessment model is composed of GIVES, SWOT, HP, simplified LCA, and sensitivity analysis.","SWOT, sustainability, assessment, model, LCA, consist, simplified, analysis, composed, sensitivity, ",20,sustainability assessment,Energy assessments,Solar energy
What does the SWOT method focus on?,"The SWOT method focuses on both internal and external factors, such as strengths, weaknesses, opportunities, and threats.","SWOT, method, weaknesses, opportunities, focus, factors, strengths, threats, internal, ",3,SWOT method,Sustainability analysis ,Solar energy
What is the GIVES methodology?,GIVES is a multi-attribute utility theory from the 21st century based on the multi-attribute utility theory.,"methodology, utility, multi-attribute, theory, century, based, ",17,multi-attribute utility,Solar energy dynamics ,Solar energy
What is the key advantage of using GIVES?,"The key advantage of GIVES is its ability to add up different indicators' resulting values, which also allow for integration of uncertain analysis into evaluation.","key, advantage, evaluation, ability, add, indicators', resulting, integration, uncertain, analysis, ",2,key advantage,Renewable Solutions Integration,Solar energy
What contexts has GIVES been previously applied successfully to define and apply comprehensive sustainability assessment tools?,"GIVES has been applied to define and apply comprehensive sustainability assessment tools in a variety of case studies containing architecture and building construction contexts (Pons et al., 2,016; Pons et al., 2,019).","Pons, define, apply, comprehensive, sustainability, assessment, tools, contexts, previously, successfully, ",20,apply comprehensive,Energy assessments,Solar energy
How has the GIVES model been validated in the current study?,The GIVES model has been validated in the current study by relying on the GIVES applications which have been satisfactorily carried out previously and by applying the developed model as an eligible tool for the first time to the specific case.,"model, validated, current, study, case, relying, applications, satisfactorily, carried, previously, ",3,current study,Sustainability analysis ,Solar energy
What is found at each level of the decision tree?,"The first level of the decision tree consists of the most general and qualitative issues - requirements - that incorporate the three basic sustainability pillars, the middle level consists of the criteria for structuring the plan, and the last level consists of the most specific and quantitative parameters - indicators.","level, decision, consists, tree, found, requirements, indicators, issues, pillars, plan, ",23,decision tree,Energy Risk indicators ,Solar energy
What are the five steps of the procedure for determining the SI's of each alternative?,"The five steps of the procedure for determining the SI's of each alternative include DT designing, tendency definition (increasing or decreasing), Min and Max point determinations, shape definition for VFS, and mathematical expression utilization.","steps, procedure, determining, alternative, Min, VFS, definition, Max, tendency, increasing, ",12,alternative include,Solar forecasting solutions ,Solar energy
How are weights or relative importance coefficients calculated for each branch of the DT?,"Weights or relative importance coefficients for each branch of the DT are calculated by calculating the weights for each requirement, then within each requirement, weights for the related criteria are determined, and then a similar procedure is used for each criterion to determine the relevant indicators' weights.","weights, relative, importance, branch, coefficients, requirement, calculated, determined, criteria, similar, ",23,relative importance,Energy Risk indicators ,Solar energy
Who are the experts in the principal panel?,"The experts in the principal panel consist of a professor founder of the architectural technology field in Iranian academic organization; a deputy and a consultant from the Tehran mayoralâ„¢s office in urbanization and urban services fields; six senior managers from the Tehran city government in the fields of architecture & construction, codification of rules & regulations, construction supervision, detailed urban plans, urban planning, and environmental organization; a researcher from the Tehran Urban Research & Planning Center; and two leading experts from the Tehran municipality in the field of sustainable development.","Tehran, experts, urban, principal, panel, planning, organization, construction, field, Research, ",14,principal panel,Solar technology adoption ,Solar energy
What are the factors ÃŽÂ»I used in Equation (1)?,"Factors ÃŽÂ»I used in Equation (1) refer to indicators, criteria, and requirements weights when calculating criteria values, requirements values, and global sustainability indexes, respectively.","Equation, factors, criteria, requirements, refer, indicators, indexes, weights, calculating, global, ",23,Equation,Energy Risk indicators ,Solar energy
What is the general expression of the GIVES VF?,The general expression of the GIVES VF is shown in Equation (2).,"general, expression, Equation, shown, ",23,general expression,Energy Risk indicators ,Solar energy
What type of forms can VFS take?,"VFS can take on a variety of forms, including concave, linear, convex, and S-shaped.","VFS, forms, S-shaped, linear, convex, type, including, variety, ",12,VFS,Solar forecasting solutions ,Solar energy
What is the purpose of the parameter definition in Table 1?,The parameter definition in Table 1 is to shape value functions.,"Table, parameter, definition, purpose, functions, shape, ",10,parameter definition,Renewable energy transition ,Solar energy
What is meant by the Minimax parameter?,The Minimax parameter is the assessed indicator's minimum and maximum abscissa values.,"Minimax, parameter, meant, assessed, indicator, maximum, abscissa, ",25,Minimax parameter,Solar performance assessment,Solar energy
What is the contribution of GIVES to the new tool in this study?,The contribution of GIVES to establish the proposed new tool in this study is served in the corresponding section 3.3.,"contribution, tool, study, section, establish, proposed, served, ",3,contribution,Sustainability analysis ,Solar energy
What is the main objective of PV technology?,The main objective of PV technology is to capture solar energy to directly generate electricity.,"main, objective, technology, electricity, capture, solar, energy, directly, generate, ",28,main objective,Solar Hybrid Technologies,Solar energy
"What was the observation made by Alexandre-Edmund Becquerel in 1,839?",Alexandre-Edmund Becquerel observed the photovoltaic effect which absorbs photons and releases free electrons through a light-absorbing material presented within the cell structure.,"Becquerel, Alexandre-Edmund, observation, made, structure, photovoltaic, effect, absorbs, photons, releases, ",22,Alexandre-Edmund Becquerel,Photovoltaic Forecasting Techniques,Solar energy
What factors affect the efficiency of solar systems?,"Solar radiation intensity, total horizontal irradiance on the screen surface, ambient temperature, panel surface area, electronic converter efficiency and solar cell efficiency.","systems, efficiency, solar, factors, affect, surface, intensity, total, ambient, temperature, ",4,factors affect,Solar energy efficiency ,Solar energy
When did the first generation of solar cells achieve 6% efficiency?,"The first generation of solar cells achieved 6% efficiency in the late 1,940s.","generation, solar, efficiency, achieve, cells, late, ",28,solar cells,Solar Hybrid Technologies,Solar energy
What are the main solar cell types?,"The main solar cell types are crystalline, thin film, and nanotechnology.","main, solar, cell, types, crystalline, thin, film, nanotechnology, ",28,main solar,Solar Hybrid Technologies,Solar energy
What are the positive parameters to define the module performance?,Positive parameters to define the module performance are efficiency and fill factor.,"parameters, define, module, positive, performance, factor, efficiency, fill, ",4,positive parameters,Solar energy efficiency ,Solar energy
What is the ratio of the highest power (that solar PV can generate) to the input power (from the sunlight radiation) called?,This ratio is called efficiency.,"power, generate, radiation, called, highest, solar, input, sunlight, efficiency, ",28,highest power,Solar Hybrid Technologies,Solar energy
What is the ratio of maximum power to the theoretical power called?,This ratio is called fill factor.,"power, ratio, called, maximum, theoretical, factor, fill, ",13,maximum power,Solar forecasting accuracy,Solar energy
What is the basic concept of PV/T systems?,The basic concept of PV/T systems is to use the waste heat from solar cells that is generated when most of the incident sunlight is converted into heat.,"basic, concept, systems, heat, waste, solar, cells, generated, incident, sunlight, ",28,basic concept,Solar Hybrid Technologies,Solar energy
How does the use of thermal collectors improve the power generation efficiency of PV modules?,The use of thermal collectors can reduce the temperature of the PV modules and thus enhance their durability and improve power generation efficiency.,"thermal, generation, collectors, power, efficiency, modules, improve, reduce, temperature, enhance, ",28,thermal collectors,Solar Hybrid Technologies,Solar energy
What is the total efficiency of PV/T systems?,The total efficiency (ET) of PV/T systems is obtained from the aggregation of electrical efficiency (Elle) and thermal efficiency (ETH).,"efficiency, total, systems, Elle, ETH, obtained, aggregation, electrical, thermal, ",28,total efficiency,Solar Hybrid Technologies,Solar energy
How does the temperature of solar cells affect their electrical efficiency?,The high temperature of solar cells decreases their electrical efficiency as far as the increase in PV cell temperature aâ€œ higher than 25 Ã¢â€”Â¦C aâ€œ causes a nearly 0.45% decrease per Ã¢â€”Â¦C.,"solar, electrical, temperature, efficiency, cells, affect, higher, increase, ",28,electrical efficiency,Solar Hybrid Technologies,Solar energy
What are the potential impacts of hybrid PV/T systems?,"Hybrid PV/T systems have potential benefits such as space usage optimization, roof architectural uniformity, installation cost and time reduction, smaller raw materials' consumption, and low maintenance requirements.","hybrid, systems, potential, impacts, optimization, roof, uniformity, installation, reduction, smaller, ",0,potential impacts,Sustainable technologies ,Solar energy
What are the drawbacks of PV/T technology?,"The main drawbacks of PV/T technology include the high initial cost, limited commercial and market potential, low degree thermal output, lack of energy generation stability, and weakness of benefits awareness.","drawbacks, technology, cost, limited, potential, low, output, lack, stability, awareness, ",28,main drawbacks,Solar Hybrid Technologies,Solar energy
What accounts for approximately one third of global energy use and one fifth of global GHG emissions?,The building industry.,"GHG, global, emissions, accounts, approximately, energy, industry, building, ",29,GHG emissions,Energy efficiency meaasures,Solar energy
When did solar PV technology start being used on buildings?,"In the 1,970s.","buildings, solar, technology, start, ",14,technology start,Solar technology adoption ,Solar energy
What is peak kilowatts (chip)?,Peak kilowatts (chip) is a measure of the expected delivery of electrical power in case the sun is directly located overhead on a clear day.,"chip, kilowatts, peak, day, measure, expected, delivery, electrical, power, case, ",24,peak kilowatts,Sun-Synchronous Orbits,Solar energy
What components make up PV systems?,"PV systems are made up of cells, connections, and devices for modifying the output electricity.","systems, connections, components, make, cells, electricity, devices, modifying, output, ",18,components make,Renewable energy Integration,Solar energy
What is an on-grid system?,"An on-grid system is a small solar power plant composed of a PV array, which is a full power generation system made up of numerous photovoltaic panels and modules.","on-grid, system, power, array, modules, small, solar, plant, composed, full, ",22,on-grid system,Photovoltaic Forecasting Techniques,Solar energy
What are the two approaches for buildings to utilize PV/PVT technology?,The two approaches for buildings to utilize PV/PVT technology are building attached photovoltaic/thermal-photovoltaic (APV/BAP VT) and building integrated photovoltaic/thermal-photovoltaic (BIPM/BIT).,"PVT, thermal-photovoltaic, approaches, utilize, technology, APV, BIPM, BIT, buildings, BAP, ",14,PVT technology,Solar technology adoption ,Solar energy
What is the importance of angle of panels when it comes to removing snow loads?,The proper angle of panels can usually remove snow loads.,"loads, angle, panels, snow, importance, removing, proper, ",8,snow loads,Solar panel perception,Solar energy
What are the effects of shading on maximum exposure to solar radiation?,"The most important effect of shading results in the prevention of receiving maximum exposure to the sun aâ€œ and consequently, energy efficiency losses aâ€œ that occur in the case of horizontal shading.","shading, exposure, maximum, radiation, solar, effects, energy, important, results, prevention, ",6,solar radiation,Thermal efficiency,Solar energy
What effect does creating a separation between panels and nearby walls have on efficiency?,Creating a separation between panels and nearby walls can increase efficiency via creating air circulation to move heat away from solar cells.,"separation, panels, nearby, creating, walls, efficiency, effect, increase, air, circulation, ",6,nearby walls,Thermal efficiency,Solar energy
What is the land area of Tehran?,Tehran has a land area of 615 square kilometres.,"area, Tehran, land, square, kilometres, ",21,land area,Renewable energy integration,Solar energy
What is the average daily solar radiation in Tehran?,The average daily solar radiation is 5.3 kWh/m2.,"Tehran, average, daily, solar, radiation, kWh, ",21,average daily,Renewable energy integration,Solar energy
What are the most critical aspects connected to air pollution in Tehran?,"Population growth, industrialization, urbanization, and increases in fossil fuel use are the most critical aspects connected to air pollution in Tehran.","Tehran, critical, aspects, connected, air, pollution, industrialization, growth, increases, fossil, ",2,critical aspects,Renewable Solutions Integration,Solar energy
How many sunny days does Iran usually receive each year?,"Iran usually receives between 1,800-2,400 kWh/m2 of solar irradiance each year.","year, Iran, kWh, sunny, days, receive, solar, irradiance, ",21,sunny days,Renewable energy integration,Solar energy
What are the main provider sources of electrical energy in Iran?,"The main provider sources of electrical energy in Iran are fossil fuels (94 %), while hydro generates nearly 6 % and other renewable energy resources produce less than 1 %.","Iran, energy, main, provider, sources, electrical, fuels, fossil, hydro, generates, ",2,main provider,Renewable Solutions Integration,Solar energy
What is the average solar radiation in Iran?,"The average solar radiation in Iran is 1,800Ã¢â‚¬â€œ2,200 kWh/m2.","Iran, average, solar, radiation, kWh, ",21,average solar,Renewable energy integration,Solar energy
What goals has the Iranian government prioritized within its five-year development plan frameworks?,The Iranian government has prioritized renewable energy development and CO2 emission reduction as key goals within its fifth and sixth five-year development plan frameworks.,"Iranian, frameworks, development, plan, five-year, goals, prioritized, emission, renewable, energy, ",2,plan frameworks,Renewable Solutions Integration,Solar energy
What are some of the support policies that have been adopted to develop PV technologies in Iran?,"Some of the support policies that have been adopted to develop PV technologies in Iran are revised FIT, national development funds to finance renewable energy projects, budget to purchase electrical energy from renewable resources, and job creation support in this field.","Iran, support, policies, adopted, develop, technologies, FIT, renewable, energy, national, ",2,support policies,Renewable Solutions Integration,Solar energy
What is the main reason for this study focusing on APV/BAP VT systems rather than BIPM/BIT?,The main reason is that Tehran's mostly flat rooftops could not take advantage of BIPM/BIT capability of adapting to more irregular surfaces such as complex shaped facades and pitched roofs.,"APV, BAP, BIPM, BIT, main, reason, study, focusing, systems, Tehran, ",14,main reason,Solar technology adoption ,Solar energy
Why are grid-connected solar generators favoured in buildings instead of stand-alone/off-grid ones?,"Grid-connected solar generators are favoured due to the Iranian government policies, incentives, and subsidies.","solar, stand-alone, off-grid, grid-connected, generators, incentives, favoured, buildings, Iranian, policies, ",10,grid-connected solar,Renewable energy transition ,Solar energy
What project does this paragraph focus on?,This paragraph focuses on a project involving mono-crystalline (m-Si) technology for PV systems.,"paragraph, m-Si, project, focus, mono-crystalline, technology, systems, involving, ",5,paragraph focus,Solar energy impact,Solar energy
Why is mono-crystalline (m-Si) technology for PV systems used for this project?,This technology is used for this project because it is the most commonly available in the market and achieves the highest performance in terms of efficiency and fill factor.,"m-Si, mono-crystalline, project, technology, systems, factor, commonly, market, achieves, highest, ",5,m-Si,Solar energy impact,Solar energy
What type of solar system is considered in this research project?,The solar system in this research project is considered a flat plate.,"research, solar, system, considered, project, type, plate, ",15,research project,Solar systems economics ,Solar energy
What are some advantages of a flat plate solar system?,"Advantages of a flat plate solar system include higher availability on the market, lower initial and maintenance cost, and an uncomplicated mechanism compared to concentrator collectors.","flat, solar, advantages, system, market, lower, cost, collectors, include, higher, ",28,flat plate,Solar Hybrid Technologies,Solar energy
What is the expected lifetime of project expectancy?,The expected lifetime of project expectancy is 25 years on average.,"expected, lifetime, project, years, average, ",15,expected lifetime,Solar systems economics ,Solar energy
