text,type,topic,subtopic,longitude,longitude (old),latitude,latitude (old),relevance
Solar Panel,topic,,,-109.12198,-179.12198,16.32166,66.32166,712494
Energy Assessments,subtopic,Solar Panel,,-108.81232,-178.81232,-68.23652,-18.23652,335111
Solar Urban Sustainability ,subtopic,Solar Panel,,-108.15833,-178.15833,-64.29333,-14.29333,793851
Renewable Solutions Integration,subtopic,Solar Panel,,-108.11094,-178.11094,-64.31096,-14.31096,786843
Energy Efficiency Meaasures,subtopic,Solar Panel,,-106.55973,-176.55973,-93.95353,-43.95353,733966
Renewable Energy Transition ,subtopic,Solar Panel,,-106.17453,-176.17453,-63.28163,-13.28163,60355
Renewable Energy Integration,subtopic,Solar Panel,,-105.30213,-175.30213,-71.17005,-21.17005,132816
Renewable Energy Insights,subtopic,Solar Panel,,-105.21333,-175.21333,-71.15216,-21.15216,228076
Solar Hybrid Technologies,subtopic,Solar Panel,,-105.20114,-175.20114,-71.13683,-21.13683,140864
Solar Energy Optimization,subtopic,Solar Panel,,-105.17678,-175.17678,-71.19292,-21.19292,820148
Solar Panel Perception,subtopic,Solar Panel,,-105.12453,-175.12453,-71.18627,-21.18627,355951
Solar Energy Impact,subtopic,Solar Panel,,-105.1172,-175.1172,-71.17735,-21.17735,866527
Solar Energy Dynamics ,subtopic,Solar Panel,,-105.06667,-175.06667,-71.13333,-21.13333,781834
Sustainability Analysis ,subtopic,Solar Panel,,-104.95656,-174.95656,-71.34135,-21.34135,401812
Energy Risk Indicators ,subtopic,Solar Panel,,-104.35423,-174.35423,-69.81468,-19.81468,649434
Solar Forecasting Solutions ,subtopic,Solar Panel,,-104.32257,-174.32257,-69.75285,-19.75285,605004
Solar Technology Adoption ,subtopic,Solar Panel,,-103.98404,-173.98404,-68.6506,-18.6506,482032
Solar Performance Assessment,subtopic,Solar Panel,,-103.79616,-173.79616,-65.9544,-15.9544,273218
Photovoltaic Forecasting Techniques,subtopic,Solar Panel,,-103.22641,-173.22641,14.42289,64.42289,454334
Solar Energy Efficiency ,subtopic,Solar Panel,,-102.63784,-172.63784,-63.51963,-13.51963,758909
Solar Forecasting Accuracy,subtopic,Solar Panel,,-102.51591,-172.51591,-58.54212,-8.54212,203442
Sustainable Technologies ,subtopic,Solar Panel,,-102.40177,-172.40177,-63.45132,-13.45132,540302
Sun-Synchronous Orbits,subtopic,Solar Panel,,-102.38802,-172.38802,-63.7736,-13.7736,168615
Thermal Efficiency,subtopic,Solar Panel,,-102.32686,-172.32686,-63.76593,-13.76593,362972
Solar Systems Economics ,subtopic,Solar Panel,,-102.30698,-172.30698,-63.75551,-13.75551,390318
Solar Materials ,subtopic,Solar Panel,,-102.17768,-172.17768,-63.67147,-13.67147,132522
Graphene Silk Panels,subtopic,Solar Panel,,-102.03602,-172.03602,-63.83183,-13.83183,260722
Main Purpose,sub-subtopic,Solar Panel,Energy assessments,-101.97963,-171.97963,-63.83535,-13.83535,977407
Solar System,sub-subtopic,Solar Panel,Solar urban sustainability ,-101.96127,-171.96127,-63.82297,-13.82297,25035
Sustainability Assessment,sub-subtopic,Solar Panel,Energy assessments,-101.95873,-171.95873,-63.8217,-13.8217,821171
Decrement Potential,sub-subtopic,Solar Panel,Renewable Solutions Integration,-101.94063,-171.94063,-63.81163,-13.81163,222898
Reduce Energy,sub-subtopic,Solar Panel,Energy efficiency meaasures,-101.85781,-171.85781,-63.97643,-13.97643,48524
Driving Capabilities,sub-subtopic,Solar Panel,Renewable energy transition ,-101.85308,-171.85308,-63.79726,-13.79726,63179
Local Energy,sub-subtopic,Solar Panel,Renewable Solutions Integration,-101.84804,-171.84804,-59.20045,-9.20045,757668
Solar Farms,sub-subtopic,Solar Panel,Renewable energy integration,-101.8469,-171.8469,-63.80044,-13.80044,286184
Average Yearly,sub-subtopic,Solar Panel,Renewable energy insights,-101.83126,-171.83126,-63.79457,-13.79457,445901
Matured Technologies,sub-subtopic,Solar Panel,Solar Hybrid Technologies,-101.81397,-171.81397,-63.84432,-13.84432,647951
Energy Simultaneously,sub-subtopic,Solar Panel,Solar Hybrid Technologies,-101.79333,-171.79333,-63.82678,-13.82678,18555
Heat Energy,sub-subtopic,Solar Panel,Energy efficiency meaasures,-101.76666,-171.76666,-63.83333,-13.83333,412501
Main Innovation,sub-subtopic,Solar Panel,Energy assessments,-101.76126,-171.76126,-63.86417,-13.86417,388502
Problem Solution,sub-subtopic,Solar Panel,Solar Energy Optimization,-101.70387,-171.70387,15.50306,65.50306,890284
Make Decisions,sub-subtopic,Solar Panel,Solar panel perception,-101.64768,-171.64768,-64.03208,-14.03208,295712
Present Article,sub-subtopic,Solar Panel,Energy assessments,-101.64181,-171.64181,-63.87504,-13.87504,746156
Air Pollution,sub-subtopic,Solar Panel,Renewable Solutions Integration,-101.59857,-171.59857,-63.87449,-13.87449,514359
Framework,sub-subtopic,Solar Panel,Energy assessments,-101.58805,-171.58805,-63.88695,-13.88695,973778
Studies Analysed,sub-subtopic,Solar Panel,Solar energy impact,-101.53122,-171.53122,-63.93375,-13.93375,422078
Major Phases,sub-subtopic,Solar Panel,Solar energy dynamics ,-101.24675,-171.24675,-59.38516,-9.38516,520831
Expected Findings,sub-subtopic,Solar Panel,Renewable energy Integration,-101.08833,-171.08833,-61.05528,-11.05528,914005
Sustainability Assessment,sub-subtopic,Solar Panel,Energy assessments,-101.02082,-171.02082,15.58604,65.58604,95879
Swot Method,sub-subtopic,Solar Panel,Sustainability analysis ,-100.785,-170.785,-64.34389,-14.34389,801615
Multi-Attribute Utility,sub-subtopic,Solar Panel,Solar energy dynamics ,-100.7808,-170.7808,-64.3534,-14.3534,841034
Key Advantage,sub-subtopic,Solar Panel,Renewable Solutions Integration,-100.75278,-170.75278,-64.33056,-14.33056,584944
Apply Comprehensive,sub-subtopic,Solar Panel,Energy assessments,-100.74444,-170.74444,-64.3325,-14.3325,908214
Current Study,sub-subtopic,Solar Panel,Sustainability analysis ,-100.73796,-170.73796,-64.35259,-14.35259,321861
Decision Tree,sub-subtopic,Solar Panel,Energy Risk indicators ,-100.73389,-170.73389,-64.32278,-14.32278,507166
Alternative Include,sub-subtopic,Solar Panel,Solar forecasting solutions ,-100.72,-170.72,-64.33583,-14.33583,769195
Relative Importance,sub-subtopic,Solar Panel,Energy Risk indicators ,-100.7025,-170.7025,-64.27806,-14.27806,358253
Principal Panel,sub-subtopic,Solar Panel,Solar technology adoption ,-100.69,-170.69,-64.2825,-14.2825,368470
Equation,sub-subtopic,Solar Panel,Energy Risk indicators ,-100.66389,-170.66389,-64.27611,-14.27611,252294
