text,type,topic,subtopic,longitude,latitude,relevance
Solar Panel,topic,,,-179.12198,66.32166,712494
Energy assessments,subtopic,Solar Panel,,-178.81232,-18.23652,335111
Solar urban sustainability ,subtopic,Solar Panel,,-178.15833,-14.29333,793851
Renewable Solutions Integration,subtopic,Solar Panel,,-178.11094,-14.31096,786843
Energy efficiency meaasures,subtopic,Solar Panel,,-176.55973,-43.95353,733966
Renewable energy transition ,subtopic,Solar Panel,,-176.17453,-13.28163,60355
Renewable energy integration,subtopic,Solar Panel,,-175.30213,-21.17005,132816
Renewable energy insights,subtopic,Solar Panel,,-175.21333,-21.15216,228076
Solar Hybrid Technologies,subtopic,Solar Panel,,-175.20114,-21.13683,140864
Solar Energy Optimization,subtopic,Solar Panel,,-175.17678,-21.19292,820148
Solar panel perception,subtopic,Solar Panel,,-175.12453,-21.18627,355951
Solar energy impact,subtopic,Solar Panel,,-175.1172,-21.17735,866527
Solar energy dynamics ,subtopic,Solar Panel,,-175.06667,-21.13333,781834
Sustainability analysis ,subtopic,Solar Panel,,-174.95656,-21.34135,401812
Energy Risk indicators ,subtopic,Solar Panel,,-174.35423,-19.81468,649434
Solar forecasting solutions ,subtopic,Solar Panel,,-174.32257,-19.75285,605004
Solar technology adoption ,subtopic,Solar Panel,,-173.98404,-18.6506,482032
Solar performance assessment,subtopic,Solar Panel,,-173.79616,-15.9544,273218
Photovoltaic Forecasting Techniques,subtopic,Solar Panel,,-173.22641,64.42289,454334
Solar energy efficiency ,subtopic,Solar Panel,,-172.63784,-13.51963,758909
Solar forecasting accuracy,subtopic,Solar Panel,,-172.51591,-8.54212,203442
Sustainable technologies ,subtopic,Solar Panel,,-172.40177,-13.45132,540302
Sun-Synchronous Orbits,subtopic,Solar Panel,,-172.38802,-13.7736,168615
Thermal efficiency,subtopic,Solar Panel,,-172.32686,-13.76593,362972
Solar systems economics ,subtopic,Solar Panel,,-172.30698,-13.75551,390318
Solar Materials ,subtopic,Solar Panel,,-172.17768,-13.67147,132522
Graphene Silk Panels,subtopic,Solar Panel,,-172.03602,-13.83183,260722
main purpose,sub-subtopic,Solar Panel,Energy assessments,-171.97963,-13.83535,977407
Solar system,sub-subtopic,Solar Panel,Solar urban sustainability ,-171.96127,-13.82297,25035
sustainability assessment,sub-subtopic,Solar Panel,Energy assessments,-171.95873,-13.8217,821171
decrement potential,sub-subtopic,Solar Panel,Renewable Solutions Integration,-171.94063,-13.81163,222898
reduce energy,sub-subtopic,Solar Panel,Energy efficiency meaasures,-171.85781,-13.97643,48524
driving capabilities,sub-subtopic,Solar Panel,Renewable energy transition ,-171.85308,-13.79726,63179
local energy,sub-subtopic,Solar Panel,Renewable Solutions Integration,-171.84804,-9.20045,757668
solar farms,sub-subtopic,Solar Panel,Renewable energy integration,-171.8469,-13.80044,286184
average yearly,sub-subtopic,Solar Panel,Renewable energy insights,-171.83126,-13.79457,445901
