text,type,topic,subtopic,longitude,latitude,relevance
Solar Panel,topic,,,0,0,100
Energy Assessments,subtopic,Solar Panel,,-55.632934250923384,45.921715521201264,82
Solar Urban Sustainability,subtopic,Solar Panel,,13.948869596425332,1.7981320622316135,83
Renewable Solutions Integration,subtopic,Solar Panel,,14.891314351719995,-11.584104824631824,62
Energy Efficiency Meaasures,subtopic,Solar Panel,,-28.677019681448282,-35.61744872886255,84
Renewable Energy Transition,subtopic,Solar Panel,,-17.1074868861807,-9.91328010875419,75
Renewable Energy Integration,subtopic,Solar Panel,,-54.35836756648376,-8.659061299219706,70
Renewable Energy Insights,subtopic,Solar Panel,,-15.745287898715146,-1.918250269205913,69
Solar Hybrid Technologies,subtopic,Solar Panel,,-66.05584773787072,-0.35356846818671483,78
Solar Energy Optimization,subtopic,Solar Panel,,-29.564311908937633,29.44124797025726,73
Solar Panel Perception,subtopic,Solar Panel,,5.938426319589761,-14.010330030884386,88
Solar Energy Impact,subtopic,Solar Panel,,-3.055381324212646,1.7957061968368981,80
Solar Energy Dynamics,subtopic,Solar Panel,,-35.17449753694496,32.237490551938116,65
Sustainability Analysis,subtopic,Solar Panel,,5.428600143037101,-56.828107433577905,62
Energy Risk Indicators,subtopic,Solar Panel,,8.89037156835512,15.238947978452568,81
Solar Forecasting Solutions,subtopic,Solar Panel,,-17.80464301546145,-3.9193564277446207,82
Solar Technology Adoption,subtopic,Solar Panel,,66.10592094573276,12.526642722807205,82
Solar Performance Assessment,subtopic,Solar Panel,,15.821380656131382,30.580072275731276,72
Photovoltaic Forecasting Techniques,subtopic,Solar Panel,,1.1772865238653838,7.820671829153788,60
Solar Energy Efficiency,subtopic,Solar Panel,,-2.778725512932963,-0.44530132914505705,69
Solar Forecasting Accuracy,subtopic,Solar Panel,,-0.44338431656107985,-2.0911255054464144,66
Sustainable Technologies,subtopic,Solar Panel,,2.5136714413948487,22.16079769823425,74
Sun-Synchronous Orbits,subtopic,Solar Panel,,9.013733806407293,37.059563722672046,85
Thermal Efficiency,subtopic,Solar Panel,,0.9054983694840647,0.6705542358717175,62
Solar Systems Economics,subtopic,Solar Panel,,15.986422750062781,7.949694102279863,90
Solar Materials,subtopic,Solar Panel,,-2.2957300853856237,-8.26030722697479,60
Electricity Access,subtopic,Solar Panel,,-2.457470005527839,-52.87152193530727,62
Graphene Silk Panels,subtopic,Solar Panel,,-26.720015047721258,55.26204088831089,72
Main Purpose,sub-subtopic,Solar Panel,Energy Assessments,-55.48372296253101,46.01393454677727,35
Solar System,sub-subtopic,Solar Panel,Solar Urban Sustainability,13.933968906409536,1.895703374255836,49
Sustainability Assessment,sub-subtopic,Solar Panel,Energy Assessments,-55.63479747404308,45.9205190960381,1
Decrement Potential,sub-subtopic,Solar Panel,Renewable Solutions Integration,14.88958096358869,-11.603912639361186,35
Reduce Energy,sub-subtopic,Solar Panel,Energy Efficiency Meaasures,-28.68307242232875,-35.578547868300284,14
Driving Capabilities,sub-subtopic,Solar Panel,Renewable Energy Transition,-17.101710513680825,-9.95219187396865,4
Local Energy,sub-subtopic,Solar Panel,Renewable Solutions Integration,15.100969368599216,-11.444870158323946,29
Solar Farms,sub-subtopic,Solar Panel,Renewable Energy Integration,-54.321368979341685,-8.613575072773916,8
Average Yearly,sub-subtopic,Solar Panel,Renewable Energy Insights,-16.0552794729301,-2.167141086104643,40
Matured Technologies,sub-subtopic,Solar Panel,Solar Hybrid Technologies,-66.23386512938058,-0.5530733450157097,35
Energy Simultaneously,sub-subtopic,Solar Panel,Solar Hybrid Technologies,-66.11024991038987,-0.40203279369358574,46
Heat Energy,sub-subtopic,Solar Panel,Energy Efficiency Meaasures,-28.764766704414498,-35.58295572498271,17
Main Innovation,sub-subtopic,Solar Panel,Energy Assessments,-55.89235262555931,45.6274487751944,44
Problem Solution,sub-subtopic,Solar Panel,Solar Energy Optimization,-29.57046472489843,29.435344055124208,1
Make Decisions,sub-subtopic,Solar Panel,Solar Panel Perception,5.981772354821486,-14.054008974045189,37
Present Article,sub-subtopic,Solar Panel,Energy Assessments,-55.567699983124214,45.97548275016935,17
Air Pollution,sub-subtopic,Solar Panel,Renewable Solutions Integration,14.903430681615047,-11.546227062952065,44
Framework,sub-subtopic,Solar Panel,Energy Assessments,-55.747903869325924,45.800101067800966,23
Studies Analysed,sub-subtopic,Solar Panel,Solar Energy Impact,-3.2456271901368137,1.9197602438449577,43
Major Phases,sub-subtopic,Solar Panel,Solar Energy Dynamics,-35.22842665933057,32.24840571423176,9
Expected Findings,sub-subtopic,Solar Panel,Renewable Energy Integration,-54.152984903554014,-9.029748026879673,45
Sustainability Assessment,sub-subtopic,Solar Panel,Energy Assessments,-55.67614933407287,45.969538658838715,23
Swot Method,sub-subtopic,Solar Panel,Sustainability Analysis,5.78864624938822,-56.609271575025694,46
Multi-Attribute Utility,sub-subtopic,Solar Panel,Solar Energy Dynamics,-34.914043366370045,32.40570795618792,35
Key Advantage,sub-subtopic,Solar Panel,Renewable Solutions Integration,14.8777372279038,-11.64243135287816,8
Apply Comprehensive,sub-subtopic,Solar Panel,Energy Assessments,-55.47305908638363,45.97672517179046,33
Current Study,sub-subtopic,Solar Panel,Sustainability Analysis,5.4263926110524245,-56.84251303201619,40
Decision Tree,sub-subtopic,Solar Panel,Energy Risk Indicators,8.883775269894477,15.237261380985782,15
Alternative Include,sub-subtopic,Solar Panel,Solar Forecasting Solutions,-17.779911611603534,-3.934740373018501,4
Relative Importance,sub-subtopic,Solar Panel,Energy Risk Indicators,8.649153759428563,15.38577352489882,41
Principal Panel,sub-subtopic,Solar Panel,Solar Technology Adoption,65.89360241218955,12.66639270898393,37
Equation,sub-subtopic,Solar Panel,Energy Risk Indicators,8.892254250761757,15.2386585194733,23
General Expression,sub-subtopic,Solar Panel,Energy Risk Indicators,9.088820903902462,15.033157303115159,48
Vfs,sub-subtopic,Solar Panel,Solar Forecasting Solutions,-18.076582558792566,-3.830273205002837,36
Parameter Definition,sub-subtopic,Solar Panel,Renewable Energy Transition,-17.009960022864785,-9.952367647713595,37
Minimax Parameter,sub-subtopic,Solar Panel,Solar Performance Assessment,15.824516783651454,30.577855874137306,25
Contribution,sub-subtopic,Solar Panel,Sustainability Analysis,5.34086642124938,-56.831714571134505,11
Main Objective,sub-subtopic,Solar Panel,Solar Hybrid Technologies,-66.04933805779298,-0.2509005175954887,15
Alexandre-Edmund Becquerel,sub-subtopic,Solar Panel,Photovoltaic Forecasting Techniques,1.2333816435302367,7.875130386454073,15
Factors Affect,sub-subtopic,Solar Panel,Solar Energy Efficiency,-3.080102778420424,-0.5030620002138467,33
Solar Cells,sub-subtopic,Solar Panel,Solar Hybrid Technologies,-66.21201420805136,-0.44061641750833747,20
Main Solar,sub-subtopic,Solar Panel,Solar Hybrid Technologies,-65.9260716970564,-0.07373513955650857,32
Positive Parameters,sub-subtopic,Solar Panel,Solar Energy Efficiency,-2.7200197242764372,-0.022181508237544445,44
Highest Power,sub-subtopic,Solar Panel,Solar Hybrid Technologies,-66.06371483145713,-0.3497954992303785,3
Maximum Power,sub-subtopic,Solar Panel,Solar Forecasting Accuracy,-0.793830110009816,-1.9852770291474893,44
Basic Concept,sub-subtopic,Solar Panel,Solar Hybrid Technologies,-66.05365920034632,-0.35764592093970576,35
Thermal Collectors,sub-subtopic,Solar Panel,Solar Hybrid Technologies,-66.08043355512264,-0.4016580963103362,23
Total Efficiency,sub-subtopic,Solar Panel,Solar Hybrid Technologies,-65.98721278589655,-0.44748847330191854,45
Electrical Efficiency,sub-subtopic,Solar Panel,Solar Hybrid Technologies,-66.07153264614078,-0.3469236478827292,3
Potential Impacts,sub-subtopic,Solar Panel,Sustainable Technologies,2.5670609137073197,22.06318128880489,17
Main Drawbacks,sub-subtopic,Solar Panel,Solar Hybrid Technologies,-65.88916904716726,-0.35009866078703883,40
Ghg Emissions,sub-subtopic,Solar Panel,Energy Efficiency Meaasures,-28.668310888191712,-35.6202780164078,5
Technology Start,sub-subtopic,Solar Panel,Solar Technology Adoption,66.21687947412745,12.495372823216268,20
Peak Kilowatts,sub-subtopic,Solar Panel,Sun-Synchronous Orbits,8.902322274346288,37.038919484162825,35
Components Make,sub-subtopic,Solar Panel,Renewable Energy Integration,-54.310547392443524,-8.519113465921814,20
On-Grid System,sub-subtopic,Solar Panel,Photovoltaic Forecasting Techniques,1.1811677993835925,7.71877144591115,18
Pvt Technology,sub-subtopic,Solar Panel,Solar Technology Adoption,66.10486531775618,12.525469376389859,33
Snow Loads,sub-subtopic,Solar Panel,Solar Panel Perception,5.922168890672718,-14.047473562206516,8
